,pokedex_number,name,generation,status,species,type_number,type_1,type_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
102,78,Galarian Rapidash,1,Normal,Unique Horn Pokémon,2,Psychic,Fairy,500.0,65.0,100.0,70.0,80.0,80.0,105.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
103,79,Slowpoke,1,Normal,Dopey Pokémon,2,Water,Psychic,315.0,90.0,65.0,65.0,40.0,40.0,15.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
104,80,Slowbro,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,490.0,95.0,75.0,110.0,100.0,80.0,30.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
106,81,Magnemite,1,Normal,Magnet Pokémon,2,Electric,Steel,325.0,25.0,35.0,70.0,95.0,55.0,45.0,Medium Fast,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
107,82,Magneton,1,Normal,Magnet Pokémon,2,Electric,Steel,465.0,50.0,60.0,95.0,120.0,70.0,70.0,Medium Fast,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
108,83,Farfetch'd,1,Normal,Wild Duck Pokémon,2,Normal,Flying,377.0,52.0,90.0,55.0,58.0,62.0,60.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
109,83,Galarian Farfetch'd,1,Normal,Wild Duck Pokémon,1,Fighting,Fighting,377.0,52.0,95.0,55.0,58.0,62.0,55.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
110,84,Doduo,1,Normal,Twin Bird Pokémon,2,Normal,Flying,310.0,35.0,85.0,45.0,35.0,35.0,75.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
111,85,Dodrio,1,Normal,Triple Bird Pokémon,2,Normal,Flying,470.0,60.0,110.0,70.0,60.0,60.0,110.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
112,86,Seel,1,Normal,Sea Lion Pokémon,1,Water,Water,325.0,65.0,45.0,55.0,45.0,70.0,45.0,Medium Fast,1.0,0.25,0.5,2.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
113,87,Dewgong,1,Normal,Sea Lion Pokémon,2,Water,Ice,475.0,90.0,70.0,80.0,70.0,95.0,70.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.125,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
114,88,Grimer,1,Normal,Sludge Pokémon,1,Poison,Poison,325.0,80.0,80.0,50.0,40.0,50.0,25.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
115,88,Alolan Grimer,1,Normal,Sludge Pokémon,2,Poison,Dark,325.0,80.0,80.0,50.0,40.0,50.0,25.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
116,89,Muk,1,Normal,Sludge Pokémon,1,Poison,Poison,500.0,105.0,105.0,75.0,65.0,100.0,50.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
117,89,Alolan Muk,1,Normal,Sludge Pokémon,2,Poison,Dark,500.0,105.0,105.0,75.0,65.0,100.0,50.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
118,90,Shellder,1,Normal,Bivalve Pokémon,1,Water,Water,305.0,30.0,65.0,100.0,45.0,25.0,40.0,Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
119,91,Cloyster,1,Normal,Bivalve Pokémon,2,Water,Ice,525.0,50.0,95.0,180.0,85.0,45.0,70.0,Slow,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
120,92,Gastly,1,Normal,Gas Pokémon,2,Ghost,Poison,310.0,30.0,35.0,30.0,100.0,35.0,80.0,Medium Slow,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
121,93,Haunter,1,Normal,Gas Pokémon,2,Ghost,Poison,405.0,45.0,50.0,45.0,115.0,55.0,95.0,Medium Slow,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
122,94,Gengar,1,Normal,Shadow Pokémon,2,Ghost,Poison,500.0,60.0,65.0,60.0,130.0,75.0,110.0,Medium Slow,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
124,95,Onix,1,Normal,Rock Snake Pokémon,2,Rock,Ground,385.0,35.0,45.0,160.0,30.0,45.0,70.0,Medium Fast,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
125,96,Drowzee,1,Normal,Hypnosis Pokémon,1,Psychic,Psychic,328.0,60.0,48.0,45.0,43.0,90.0,42.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
126,97,Hypno,1,Normal,Hypnosis Pokémon,1,Psychic,Psychic,483.0,85.0,73.0,70.0,73.0,115.0,67.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
127,98,Krabby,1,Normal,River Crab Pokémon,1,Water,Water,325.0,30.0,105.0,90.0,25.0,25.0,50.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
128,99,Kingler,1,Normal,Pincer Pokémon,1,Water,Water,475.0,55.0,130.0,115.0,50.0,50.0,75.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
129,100,Voltorb,1,Normal,Ball Pokémon,1,Electric,Electric,330.0,40.0,30.0,50.0,55.0,55.0,100.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
130,101,Electrode,1,Normal,Ball Pokémon,1,Electric,Electric,490.0,60.0,50.0,70.0,80.0,80.0,150.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
131,102,Exeggcute,1,Normal,Egg Pokémon,2,Grass,Psychic,325.0,60.0,40.0,80.0,60.0,45.0,40.0,Slow,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
132,103,Exeggutor,1,Normal,Coconut Pokémon,2,Grass,Psychic,530.0,95.0,95.0,85.0,125.0,75.0,55.0,Slow,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
133,103,Alolan Exeggutor,1,Normal,Coconut Pokémon,2,Grass,Dragon,530.0,95.0,105.0,85.0,125.0,75.0,45.0,Slow,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
134,104,Cubone,1,Normal,Lonely Pokémon,1,Ground,Ground,320.0,50.0,50.0,95.0,40.0,50.0,35.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
135,105,Marowak,1,Normal,Bone Keeper Pokémon,1,Ground,Ground,425.0,60.0,80.0,110.0,50.0,80.0,45.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
136,105,Alolan Marowak,1,Normal,Bone Keeper Pokémon,2,Fire,Ghost,425.0,60.0,80.0,110.0,50.0,80.0,45.0,Medium Fast,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5
137,106,Hitmonlee,1,Normal,Kicking Pokémon,1,Fighting,Fighting,455.0,50.0,120.0,53.0,35.0,110.0,87.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
138,107,Hitmonchan,1,Normal,Punching Pokémon,1,Fighting,Fighting,455.0,50.0,105.0,79.0,35.0,110.0,76.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
139,108,Lickitung,1,Normal,Licking Pokémon,1,Normal,Normal,385.0,90.0,55.0,75.0,60.0,75.0,30.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
140,109,Koffing,1,Normal,Poison Gas Pokémon,1,Poison,Poison,340.0,40.0,65.0,95.0,60.0,45.0,35.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
141,110,Weezing,1,Normal,Poison Gas Pokémon,1,Poison,Poison,490.0,65.0,90.0,120.0,85.0,70.0,60.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
142,110,Galarian Weezing,1,Normal,Poison Gas Pokémon,2,Poison,Fairy,490.0,65.0,90.0,120.0,85.0,70.0,60.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
143,111,Rhyhorn,1,Normal,Spikes Pokémon,2,Ground,Rock,345.0,80.0,85.0,95.0,30.0,30.0,25.0,Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
144,112,Rhydon,1,Normal,Drill Pokémon,2,Ground,Rock,485.0,105.0,130.0,120.0,45.0,45.0,40.0,Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
145,113,Chansey,1,Normal,Egg Pokémon,1,Normal,Normal,450.0,250.0,5.0,5.0,35.0,105.0,50.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
146,114,Tangela,1,Normal,Vine Pokémon,1,Grass,Grass,435.0,65.0,55.0,115.0,100.0,40.0,60.0,Medium Fast,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
147,115,Kangaskhan,1,Normal,Parent Pokémon,1,Normal,Normal,490.0,105.0,95.0,80.0,40.0,80.0,90.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
149,116,Horsea,1,Normal,Dragon Pokémon,1,Water,Water,295.0,30.0,40.0,70.0,70.0,25.0,60.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
150,117,Seadra,1,Normal,Dragon Pokémon,1,Water,Water,440.0,55.0,65.0,95.0,95.0,45.0,85.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
151,118,Goldeen,1,Normal,Goldfish Pokémon,1,Water,Water,320.0,45.0,67.0,60.0,35.0,50.0,63.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
152,119,Seaking,1,Normal,Goldfish Pokémon,1,Water,Water,450.0,80.0,92.0,65.0,65.0,80.0,68.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
153,120,Staryu,1,Normal,Star Shape Pokémon,1,Water,Water,340.0,30.0,45.0,55.0,70.0,55.0,85.0,Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
154,121,Starmie,1,Normal,Mysterious Pokémon,2,Water,Psychic,520.0,60.0,75.0,85.0,100.0,85.0,115.0,Slow,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
155,122,Mr. Mime,1,Normal,Barrier Pokémon,2,Psychic,Fairy,460.0,40.0,45.0,65.0,100.0,120.0,90.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
156,122,Galarian Mr. Mime,1,Normal,Dancing Pokémon,2,Psychic,Ice,460.0,50.0,65.0,65.0,90.0,90.0,100.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.5,1.0,1.0,0.5,1.0,1.0,1.5,0.0,1.0,1.5,1.0
157,123,Scyther,1,Normal,Mantis Pokémon,2,Bug,Flying,500.0,70.0,110.0,80.0,55.0,80.0,105.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
158,124,Jynx,1,Normal,Human Shape Pokémon,2,Ice,Psychic,455.0,65.0,50.0,35.0,115.0,95.0,95.0,Medium Fast,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
159,125,Electabuzz,1,Normal,Electric Pokémon,1,Electric,Electric,490.0,65.0,83.0,57.0,95.0,85.0,105.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
160,126,Magmar,1,Normal,Spitfire Pokémon,1,Fire,Fire,495.0,65.0,95.0,57.0,100.0,85.0,93.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
161,127,Pinsir,1,Normal,Stag Beetle Pokémon,1,Bug,Bug,500.0,65.0,125.0,100.0,55.0,70.0,85.0,Slow,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
163,128,Tauros,1,Normal,Wild Bull Pokémon,1,Normal,Normal,490.0,75.0,100.0,95.0,40.0,70.0,110.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
164,129,Magikarp,1,Normal,Fish Pokémon,1,Water,Water,200.0,20.0,10.0,55.0,15.0,20.0,80.0,Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
165,130,Gyarados,1,Normal,Atrocious Pokémon,2,Water,Flying,540.0,95.0,125.0,79.0,60.0,100.0,81.0,Slow,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
167,131,Lapras,1,Normal,Transport Pokémon,2,Water,Ice,535.0,130.0,85.0,80.0,85.0,95.0,60.0,Slow,1.0,1.0,0.0,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
168,132,Ditto,1,Normal,Transform Pokémon,1,Normal,Normal,288.0,48.0,48.0,48.0,48.0,48.0,48.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
169,133,Eevee,1,Normal,Evolution Pokémon,1,Normal,Normal,325.0,55.0,55.0,50.0,45.0,65.0,55.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
170,133,Partner Eevee,1,Normal,Evolution Pokémon,1,Normal,Normal,435.0,65.0,75.0,70.0,65.0,85.0,75.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
171,134,Vaporeon,1,Normal,Bubble Jet Pokémon,1,Water,Water,525.0,130.0,65.0,60.0,110.0,95.0,65.0,Medium Fast,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
172,135,Jolteon,1,Normal,Lightning Pokémon,1,Electric,Electric,525.0,65.0,65.0,60.0,110.0,95.0,130.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
173,136,Flareon,1,Normal,Flame Pokémon,1,Fire,Fire,525.0,65.0,130.0,60.0,95.0,110.0,65.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
174,137,Porygon,1,Normal,Virtual Pokémon,1,Normal,Normal,395.0,65.0,60.0,70.0,85.0,75.0,40.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
175,138,Omanyte,1,Normal,Spiral Pokémon,2,Rock,Water,355.0,35.0,40.0,100.0,90.0,55.0,35.0,Medium Fast,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,139,Omastar,1,Normal,Spiral Pokémon,2,Rock,Water,495.0,70.0,60.0,125.0,115.0,70.0,55.0,Medium Fast,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
177,140,Kabuto,1,Normal,Shellfish Pokémon,2,Rock,Water,355.0,30.0,80.0,90.0,55.0,45.0,55.0,Medium Fast,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,141,Kabutops,1,Normal,Shellfish Pokémon,2,Rock,Water,495.0,60.0,115.0,105.0,65.0,70.0,80.0,Medium Fast,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,142,Aerodactyl,1,Normal,Fossil Pokémon,2,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0,Slow,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0
181,143,Snorlax,1,Normal,Sleeping Pokémon,1,Normal,Normal,540.0,160.0,110.0,65.0,65.0,110.0,30.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
182,144,Articuno,1,Sub Legendary,Freeze Pokémon,2,Ice,Flying,580.0,90.0,85.0,100.0,95.0,125.0,85.0,Slow,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
183,145,Zapdos,1,Sub Legendary,Electric Pokémon,2,Electric,Flying,580.0,90.0,90.0,85.0,125.0,90.0,100.0,Slow,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
184,146,Moltres,1,Sub Legendary,Flame Pokémon,2,Fire,Flying,580.0,90.0,100.0,90.0,125.0,85.0,90.0,Slow,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
185,147,Dratini,1,Normal,Dragon Pokémon,1,Dragon,Dragon,300.0,41.0,64.0,45.0,50.0,50.0,50.0,Slow,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
186,148,Dragonair,1,Normal,Dragon Pokémon,1,Dragon,Dragon,420.0,61.0,84.0,65.0,70.0,70.0,70.0,Slow,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
187,149,Dragonite,1,Normal,Dragon Pokémon,2,Dragon,Flying,600.0,91.0,134.0,95.0,100.0,100.0,80.0,Slow,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0
188,150,Mewtwo,1,Legendary,Genetic Pokémon,1,Psychic,Psychic,680.0,106.0,110.0,90.0,154.0,90.0,130.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
191,151,Mew,1,Mythical,New Species Pokémon,1,Psychic,Psychic,600.0,100.0,100.0,100.0,100.0,100.0,100.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
192,152,Chikorita,2,Normal,Leaf Pokémon,1,Grass,Grass,318.0,45.0,49.0,65.0,49.0,65.0,45.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
193,153,Bayleef,2,Normal,Leaf Pokémon,1,Grass,Grass,405.0,60.0,62.0,80.0,63.0,80.0,60.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
195,155,Cyndaquil,2,Normal,Fire Mouse Pokémon,1,Fire,Fire,309.0,39.0,52.0,43.0,60.0,50.0,65.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
196,156,Quilava,2,Normal,Volcano Pokémon,1,Fire,Fire,405.0,58.0,64.0,58.0,80.0,65.0,80.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
197,157,Typhlosion,2,Normal,Volcano Pokémon,1,Fire,Fire,534.0,78.0,84.0,78.0,109.0,85.0,100.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
198,158,Totodile,2,Normal,Big Jaw Pokémon,1,Water,Water,314.0,50.0,65.0,64.0,44.0,48.0,43.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
199,159,Croconaw,2,Normal,Big Jaw Pokémon,1,Water,Water,405.0,65.0,80.0,80.0,59.0,63.0,58.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
200,160,Feraligatr,2,Normal,Big Jaw Pokémon,1,Water,Water,530.0,85.0,105.0,100.0,79.0,83.0,78.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
201,161,Sentret,2,Normal,Scout Pokémon,1,Normal,Normal,215.0,35.0,46.0,34.0,35.0,45.0,20.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
202,162,Furret,2,Normal,Long Body Pokémon,1,Normal,Normal,415.0,85.0,76.0,64.0,45.0,55.0,90.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
203,163,Hoothoot,2,Normal,Owl Pokémon,2,Normal,Flying,262.0,60.0,30.0,30.0,36.0,56.0,50.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
204,164,Noctowl,2,Normal,Owl Pokémon,2,Normal,Flying,452.0,100.0,50.0,50.0,86.0,96.0,70.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
205,165,Ledyba,2,Normal,Five Star Pokémon,2,Bug,Flying,265.0,40.0,20.0,30.0,40.0,80.0,55.0,Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
206,166,Ledian,2,Normal,Five Star Pokémon,2,Bug,Flying,390.0,55.0,35.0,50.0,55.0,110.0,85.0,Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
